h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
891f18b28c3ffff,707.64,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
89194adb52bffff,708.92694,0,0,1,0,0,0,0,london,0.035017084679144925,4044.0,85.66313326479242
891f18b0513ffff,710.0227,0,0,1,0,0,0,0,berlin,0.035017084679144925,4044.0,85.66313326479242
89195db4927ffff,1663.8629,0,1,8,1,1,0,0,london,0.035,4067.0,85.58159322154076
89194ad0413ffff,1123.2142,0,0,0,0,1,0,0,london,0.035,4067.0,85.58159322154076
89194ad1313ffff,1113.8241,0,0,0,0,1,0,0,london,0.035,4067.0,85.58159322154076
891fb475903ffff,4443.516,0,0,3,0,0,0,0,paris,0.0349194644168133,4070.0,85.57095756372532
89194e6d677ffff,80.44812,0,0,2,0,0,0,0,london,0.034900482667275155,4071.0,85.5674123444535
89194e6186bffff,516.45557,0,0,0,0,0,0,0,london,0.03489617189300315,4072.0,85.56386712518169
891fb462973ffff,1850.3516,1,0,10,0,0,0,0,paris,0.034871128150622537,4073.0,85.56032190590989
89195da6d6fffff,1585.5542,0,0,5,1,0,0,0,london,0.034864907105617966,4074.0,85.55677668663807
89194ad136bffff,1715.5763,1,0,0,1,0,0,0,london,0.034805622009569374,4075.0,85.55323146736626
89195da5937ffff,1728.0576,1,0,0,1,0,0,0,london,0.034805622009569374,4075.0,85.55323146736626
89195da4c4fffff,1715.5312,1,0,0,1,0,0,0,london,0.034805622009569374,4075.0,85.55323146736626
89194adb047ffff,1221.9641,0,0,2,0,0,0,0,london,0.034737302214257804,4078.0,85.54259580955082
89194ada807ffff,315.6159,0,0,2,0,0,0,0,london,0.03471776137263525,4079.0,85.539050590279
891f1d4ab63ffff,753.57306,0,0,4,1,0,0,0,berlin,0.03471638147091868,4080.0,85.53550537100719
89195da4d83ffff,808.53125,0,0,8,1,0,0,0,london,0.03471540616246499,4081.0,85.53196015173538
89195da4a33ffff,2183.2651,2,0,3,0,0,0,0,london,0.03469405633687231,4082.0,85.52841493246358
891f1d48323ffff,688.9251,1,0,4,0,0,0,0,berlin,0.034640579710144934,4083.0,85.52486971319176
891f1d4830bffff,689.1787,1,0,4,0,0,0,0,berlin,0.034640579710144934,4083.0,85.52486971319176
89194e69133ffff,1555.114,0,0,8,0,0,4,0,london,0.03457142857142857,4085.0,85.51777927464813
89194ad9023ffff,1106.1619,0,0,2,0,0,0,0,london,0.03452216060205737,4086.0,85.51423405537632
89195da4e2bffff,2431.6533,0,0,12,0,1,0,0,london,0.03451851851851852,4087.0,85.5106888361045
89195da55dbffff,1610.5276,1,0,0,0,0,0,0,london,0.03450170717440454,4088.0,85.5071436168327
89194ad36cbffff,1948.0964,1,0,3,1,0,0,0,london,0.03445873144746277,4089.0,85.50359839756089
89194ac010fffff,449.7606,0,0,0,0,0,0,0,london,0.03445271068652,4090.0,85.50005317828908
89194adb58fffff,1690.0396,1,0,8,2,0,0,0,london,0.034449472096530924,4091.0,85.49650795901726
89195da6acfffff,579.41235,1,0,6,0,0,1,0,london,0.034444444444444444,4092.0,85.49296273974545
891f18b224fffff,715.4075,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
89194ad2b63ffff,715.8906,0,0,1,0,0,0,0,london,0.03429019813587154,4093.0,85.48941752047364
891f1d4aab3ffff,716.3782,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
891f1d4135bffff,715.88605,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
891f1d4d5b3ffff,716.25134,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
891f18b33b7ffff,715.3906,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
89195da4213ffff,715.6782,0,0,1,0,0,0,0,london,0.03429019813587154,4093.0,85.48941752047364
891f1d5892bffff,715.0763,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
891f1d4accfffff,716.1124,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
891f1d4aa67ffff,715.0038,0,0,1,0,0,0,0,berlin,0.03429019813587154,4093.0,85.48941752047364
89195dadd1bffff,761.515,0,0,0,0,0,0,0,london,0.034278662169796935,4103.0,85.45396532775553
891f1d4aeafffff,761.45197,0,0,0,0,0,0,0,berlin,0.034278662169796935,4103.0,85.45396532775553
891f1886947ffff,761.56445,0,0,0,0,0,0,0,berlin,0.034278662169796935,4103.0,85.45396532775553
891f1d4b2b3ffff,691.16455,0,0,1,0,0,0,0,berlin,0.03426695375645361,4106.0,85.44332966994008
89194e6c05bffff,970.85364,0,0,3,0,0,1,0,london,0.03419043684897542,4107.0,85.43978445066827
89194ad326fffff,494.018,0,0,9,0,0,0,0,london,0.03412898015325565,4108.0,85.43623923139646
89194ada4d7ffff,2660.1401,0,0,16,0,0,0,0,london,0.03412314239705544,4109.0,85.43269401212464
89194e68863ffff,1549.4852,0,0,3,1,0,0,0,london,0.03408833252025273,4110.0,85.42914879285284
891f1d49b07ffff,753.91833,0,0,5,0,0,0,0,berlin,0.03402911948063862,4111.0,85.42560357358103
89194ada463ffff,3024.4966,0,0,2,0,0,0,0,london,0.03400591901927676,4112.0,85.42205835430921
89195da4e97ffff,1609.9915,1,0,5,0,0,0,0,london,0.033989174319780754,4113.0,85.4185131350374
89195da4aa3ffff,1997.5264,0,0,7,0,0,1,1,london,0.03394673426931492,4114.0,85.41496791576559
891f18b5c93ffff,510.425,0,0,3,0,0,0,0,berlin,0.03393536378034578,4115.0,85.41142269649377
89194ada593ffff,513.8304,0,0,3,0,0,0,0,london,0.03393536378034578,4115.0,85.41142269649377
891f1d4d297ffff,658.0774,0,0,2,1,0,0,0,berlin,0.03392453356805085,4117.0,85.40433225795016
